address,categories,city,country,name,reviews.rating,reviews.text
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,3,"We stayed for the weekend, good area for shopping, the place needs a little updating, but the staff more than makes up for that. We go there because of the pool and hot tub. They have a very nice breakfast plan where you can order what you like from their restaurant for the breakfast."
920 N Rampart St,"Hotel,Hotels",New Orleans,US,Best Western Plus French Quarter Landmark Hotel,4,Great location to investigate the French Quarter but far enough away to get out of the noise of Bourbon St
920 N Rampart St,"Hotel,Hotels",New Orleans,US,Best Western Plus French Quarter Landmark Hotel,4,Stayed for 3 nights. Staffs at the front desk were friendly and helpful. Car parking is available and is 28 per night. Our room was on the second floor. Room was clean and beds were comfortable. The wash basin was outside and it drained very slowly. Bathroom was clean. The room was well stocked with towels and toiletries. House keeping... More
4021 Union Deposit Rd,Hotels,Harrisburg,US,Holiday Inn Express - Harrisburg East,4,The check in was quick. No issues. Room was clean. The check out process was seamless as well.
442 Walker Bay Blvd,Hotels,Walker,US,Country Inn Walker,4,"A bit south of town and just north of the Northern Lights Casino, this was found be be a clean, nicely maintained facility. Typical free breakfast, nothing to write home about but a convenient plus. A neighboring bar and grill is another convenience. Friendly staff. A place I would certainly consider staying at again."
135 Route 28,Hotels,West Yarmouth,US,Tidewater Inn,3,"The room was cheap which was good but the room had tons of fruit flys. We spent our first night trying to get ride of them. Also, when we would shower the tub would fill up w water and not go down. We'd have to shower in our own bath water.... Minutes later after we'd finish the water would finally start going town the drain. Aside from that the room was clean and the amenities would always be replaced. It wasn't a horrible room. It was just ok."
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,5,Nice stop over hotel near some shops.   The hotel had a pool and hot tub but these could do with some work.   Had a nice friendly bar to relax in.
2008 S Hawthorne Rd,Hotels & Motels,Winston Salem,US,Quality Inn & Suites Hanes Mall,4,"We were upgraded to a suite, and it was nice after being in cramped rooms in other towns. Quite a relief. Made our stay enjoyable. It was like two rooms made into a suite, with two separate bathrooms. It was clean, bright, and close to the pool."
1100 N Mississippi Ave,"Bed & Breakfasts,Hotels,Inns,E-Commerce",Ada,US,Raintree Inn,5,I needed a place to stay while im in the process of moving and i would reccommend this facility staff was very friendly and helpful price was reasonable i will be staying here again a big high five from me thanks
580 S Route 3 (daniel Webster Highway) Po Box 99,"Hotels,Hotel,Lodging,Motels",Twin Mountain,US,Profile Deluxe Motel,4,"I have stayed there several times in the winter to snow mobile and summer to hike and bike. There is a nice pool but it was always too cold out to swim. It is not fancy like the big hotels but for the price it is great. It is always clean and neat and cute furnishings. The owners are helpful and have free coffee, cocoa in the rooms. Good cable. The rooms I stayed in had a refridge and a microwave."
200 Second St,"Hotel,Hotels",Saint Mary,US,White Cliff Manor Bed and Breakfast,5,"My boyfriend and I stayed here for a weekend trip to celebrate my 25th birthday. We were very busy visiting wineries all day and this B B was the perfect place to come back and relax at the end of our night. The house itself is amazing, surrounded by the most beautiful gardens, complete with dogs, cats and horses.... More"
2707 Veterans Ave,"Travel & Transport,Hotels,Hotels & Motels",Vandalia,US,Ramada Vandalia,4,Expedia didn't request handicap room as I had asked. Staff was very helpful finding room that would work.
7055 Minstrel Way,"Family-Friendly Hotels,Budget Hotels,Hotels & Motels,Business Hotels,Hotel,Tourist Hotels",Columbia,US,Springhill Suites Columbia,5,modern and clean! but the elevators are so slow...you're better off taking the stairs at the ends of the hall
135 Route 28,Hotels,West Yarmouth,US,Tidewater Inn,4,"Wonderful , friendly personnel Very clean rooms Easy access to beaches and places of interest. Safety locks"
13600 N W 2nd St,Hotels,Fort Lauderdale,US,La Quinta Inn and Suites Sunrise,3,"Good stay, great price..."
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,4,"alors le s��jour a bien ��t�� par contre la surprise est au sujet du d��jeun�� inclus, je constate qu'il y a un montant allou�� par contre si ont veut bien d��jeun�� il y auras un surplus surprise il y a eu surplus.faudrait voir a bonifier le montant du d��jeun�� ou bien l'indiquer sur la fiche car un d��jeun�� a l'ext��rieure de l'h��tel deviens plus ��conomique"
835 S Chestatee St,"Wedding Sites,Hotels,Hotels & Motels,Meeting Facilities",Dahlonega,US,Holiday Inn Express Dahlonega,5,The gal that checked us in and out was not friendly.
5479 Westmoreland Plz,Hotels,Douglasville,US,Quality Inn Near Six Flags,3,"Had availability when most were all booked up. Nice staff, room was clean, needed some redecorating and a face lift but was ok for the money"
200 Eastlight Ct,"Travel & Transport,Hotels & Motels,Hotel",East Peoria,US,Fairfield Inn & Suites Peoria East,5,"The hotel has great service and hotel is centrally located. Breakfast was agreat, room was clean and bed was soft with plenty of pillows. Everyone was very nice, watching the fireworks was perfect. We'll be back again for sure."
442 Walker Bay Blvd,Hotels,Walker,US,Country Inn Walker,5,we had a nonsmoking room that was apparently smoked in and the cigarette smell in the room was terrible to say the least. the rest of the stay was great. If you advertise smoke free rooms then at least give your guest a smoke free smell to the room.
2645 N W Inlet Ave,"Hotels,Lodging,Hotel,Motels",Lincoln City,US,Pelican Shores Inn,5,This was one of the most pleasant stays we have had to the coast. Rooms have been upgraded and very well done. The staff was exceptional I would stay there again in a heart beat. Right on the beach with access from the hotel. Nice breakfast bar
5610 Vineland Rd,Hotels,Orlando,US,Extended Stay America - Orlando Theme Parks - Vineland Rd.,4,Nice to stay a night Or two. When they said breakfast is to go it is to go. You have to grab and go breakfast is located in the lobby. There is no where to sit and enjoy muffin and coffee. No pool. Room was nice and clean.
119 Pinnacle Dr,Hotels,Johnson City,US,Quality Inn Johnson City,4,"My first stay at the hotel and the area. I had no problem with my room. Plenty of available sockets to charge devices. (An absolute necessity these days.) For some reason my GPS app routed me to the restaurant in front of the hotel, but that's obviously not the hotels fault. My only complaint was an odd chemical taste in... More"
4507 Brooklyn Ave N E,"Hotel,fun hotels in seattle",Seattle,US,Hotel Deca - A Noble House Hotel,5,"The room was very clean and just as shown in the pictures. The hotel staff was wonderful! We stayed because we had an extremely early appointment at the UW Hospital and choose this as a nice place close to the clinic, but we enjoyed it so much that we would recommend this a place to stay if your visiting the... More"
7055 Minstrel Way,"Family-Friendly Hotels,Budget Hotels,Hotels & Motels,Business Hotels,Hotel,Tourist Hotels",Columbia,US,Springhill Suites Columbia,4,"The front desk service was awesome, very nice greeting and customer service skills were great. Lobby was very clean and cozy. Breakfast was good. Parking was no problem. Room was AMAZING. It was like a mini apartment. It was very clean and comfortable. Bedding was stainless, bathrooms were spotless. My overall experience was great. I would definitely stay there again."
457 Mountain Village Blvd,Hotels,Telluride,US,Mountain Lodge At Telluride - A Noble House Resort,4,Beautiful Telluride area. Stayed her 4 nights February 2016. Good location with short and convenient shuttle rides into village or gondola. Our first room was very small but we upgraded at a reasonable cost to much larger room with more space to accommodate ski gear. The View restaurant and bar is very good. The Lodge staff was very helpful and... More
7055 Minstrel Way,"Family-Friendly Hotels,Budget Hotels,Hotels & Motels,Business Hotels,Hotel,Tourist Hotels",Columbia,US,Springhill Suites Columbia,3,"Overall my stay was fine, but there was an issue. I checked in on Friday 9/25/15. On Saturday morning, 9/26/15, I noticed that there were two additional charges on my account from the hotel, so I brought it to the attention of the front desk. The front desk attendant stated that they would return the funds immediately because the charges... More"
52 Ashworth Ave,"Hotel,Hotels",Hampton,US,Janmere Motel,3,"Ok, I have stayed here many times over the years. I have never had an issue, are they strict yes but if I was running a motel I would probably be too. Very nice pool and they keep it very clean. No visitors, that is correct but it is on the sign right outside the office and on their website... More"
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,3,"Clean and comfortable hotel near to the airport. The breakfast was included and wasn't bad however I was ready to eat some waffles or pancake instead they offered pre packed Danish sweet bread, so we ran to Denny's (it is pretty near). If you like to sleep till late, my suggestion is to ask for a room situated in an upper floor. The first one is a little bit lousy after 8 a.m."
280 S Main St,"Motels,Lodging,Hotels",Wolfeboro,US,Lake Motel,5,"Randomly ended up here after being caught in the Portland flash floods. The view from our room's balcony was beautiful, overlooking the lake. Fantastic large room with a kitchenette and sitting area, newly refurbished. We could not have asked for more and ended up staying another day. Wolfeboro a lovely little town with plenty of little shops, diners and lake... More"
895 Highway 10 E,"Motels,Lodging,Hotels",Detroit Lakes,US,Budget Host Inn,5,"The staff is very friendly, always welcoming, and kind. The rooms are very clean. I have stayed in two different rooms at different times and both were decent size. Large bathroom in one and a nice little kitchenette in the other. Could make dinner in room which was nice. There was plenty of parking. From the outside it may put... More"
1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,Doubletree By Hilton Hotel Bay City - Riverfront,4,"I came from SLP, Mxico, after 16 hours, one bus, 3 flights, 4 airports and the gave a cookie in the front desk....it was just so sweet!! I know they gave them to everyone but it was just what I needed! !! rooms are confortable and beds are nice! it has a Park in front that is so beautiful and... More"
200 Second St,"Hotel,Hotels",Saint Mary,US,White Cliff Manor Bed and Breakfast,3,We planned a weekend trip to White Cliff for our 10 year anniversary with high hopes. Reviews were very high on the property and its caretaker. We have stayed at over a dozen BB's and feel we have a reasonable opinion of what makes a BB above average. The manor itself has a history that you can feel as soon... More
2597 Holiday Rd,Hotels,Coralville,US,Americinn Coralville,3,"When we entered the lobby, there was disassembled furniture stacked up everywhere with price tags on it. Looked like a flea market. The front desk staff was not very friendly. After checking in, we went up to our room to find it hadn't been cleaned. Better luck with the second room, but the sheets were old and had stains, as did the comforter and bed skirt. The housekeeping staff didn't change our sheets during our 3-night stay. Made us wonder if they had ever changed the sheets, frankly. A couple checking in the same time as us had to try 3 times to find a room that hadn't been slept in or had other people's stuff in it. Not good."
13600 N W 2nd St,Hotels,Fort Lauderdale,US,La Quinta Inn and Suites Sunrise,1,"Mejoraria los desayunos, son muy americanos."
4691 Castleton Way,Hotels,Castle Rock,US,Days Inn & Suites Castle Rock,2,"Ghetto TV and desk staff that doesn't show any sign of wanting you there. The cleaning ladies tried to get into my room even though I had the privacy thing on my door handle. They actually opened the door on the second attempt )after I told them it was occupied) and they poked their heads in. At breakfast, my waffles... More"
4507 Brooklyn Ave N E,"Hotel,fun hotels in seattle",Seattle,US,Hotel Deca - A Noble House Hotel,5,"Lovely dcor in the lobby and in the room, clean, free upgrade, courteous staff, restaurant and caf on premises. Near University of Washington. Good price. Would stay here again. (Only minor drawback was restaurant did not take reservations.)"
2007 N Expy,Hotels,Griffin,US,Baymont Inn & Suites Griffin,5,Staying here for years when it was a Hampton Inn. Still a good place to stay. Much better than the one in Cornelia!
40 Ashworth Ave,"Hotel,Hotels",Hampton,US,Mainsail Motel & Cottages,5,"Enjoyed two night in hotel room after spending a week in a cottage a few years back. New ownership has made many improvements. Spacious room with basic amenities including small fridge, microwave and sink. Love the close proximity to beach, main shopping and dining strip and even a water slide. Staff are on premises working hard all day long."
2707 Veterans Ave,"Travel & Transport,Hotels,Hotels & Motels",Vandalia,US,Ramada Vandalia,4,"I have stayed here several times and barely have a complaint. At most, I would say the breakfast needs an update, but that is mostly because I eat here several times a year. That being said, I REALLY like their sausage gravy (hint-hint - with scrambled eggs versus just sausage patties and muffins and for those that don't like gravy... More"
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,3,None
4021 Union Deposit Rd,Hotels,Harrisburg,US,Holiday Inn Express - Harrisburg East,5,"Nice stay, but breakfast ends early."
457 Mountain Village Blvd,Hotels,Telluride,US,Mountain Lodge At Telluride - A Noble House Resort,5,"We had a wonderful time at the Mountain Lodge Telluride. Our room was spacious and clean. The photography in the Lodge was beautiful. The best part was the pool. The view from the pool is the most beautiful pool view I have ever seen. Stay here, you won't be disappointed."
2008 S Hawthorne Rd,Hotels & Motels,Winston Salem,US,Quality Inn & Suites Hanes Mall,3,"My daughter and I recently stayed 2 nights, the front desk was extremely helpful kind. The restaurant bar was in need of updating, food was extremely basic, but the staff was very helpful. I would definitely stay with them again"
18980 Upper Belmont Pl,"Conference & Convention Centers,Wholesale Copiers,Conventions,Hotels & Motels,Lodging,Meeting Room,Resorts,Convention Center,Resort",Leesburg,US,The National Conference Center,2,just follow the signs. it's a lot more simple to get around then it looks!
1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,Doubletree By Hilton Hotel Bay City - Riverfront,2,"I was expecting something nice, but this property was a let down. I don't have one good thing to report about this Hilton. Here's the things that disappointed me: 1) Room not ready. Waited for 2 hours for housekeeping. Excuse was that they were full the night before. Ladies at desk were not friendly, and the manager stood behind them... More"
8040 Oliver Rd,"Hotel,Hotels",Erie,US,Solstice,3,Construction and renovation going on. Definitely needs updating. Still charged regular rates. Comfortable bed and housekeeping service nice.
4740 Highway 68,"Hotel,Hotels",Madisonville,US,Motor Inns of America,1,"Not much to choose from in this area. I would advise you go to another town. This was the best the town had to offer and we found hair all over the sheets and pillows. The mattress was beyond shot. Burn marks in the carpet, dirty trim and windows. Worst motel I have stayed in for years."
7055 Minstrel Way,"Family-Friendly Hotels,Budget Hotels,Hotels & Motels,Business Hotels,Hotel,Tourist Hotels",Columbia,US,Springhill Suites Columbia,4,The official hotel of @24HoursofBooty!
135 Route 28,Hotels,West Yarmouth,US,Tidewater Inn,2,"It was ok for the price, only stayed one night. Was a bit musty smelling."
920 N Rampart St,"Hotel,Hotels",New Orleans,US,Best Western Plus French Quarter Landmark Hotel,3,Took a shuttle to this location. It was right across the street from Armstrong park! walking distance from the cemetery and french quarters!! I loved the location. Far enough from the crazyness but walking distances from coffee shops and food. On our last night we decided to dine in bartender recommended a spot not too far from the hotel they... More
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,5,My room is clean and staff has been nice so far!!! I Would recommend staying here!
8040 Oliver Rd,"Hotel,Hotels",Erie,US,Solstice,4,They are remodeling so what they've done so far looks great. Our room was freshly painted but the bed spread was dirty and had stains on it and the bathroom had hair in the shower and on the toilet. The Windows had hand prints all over them and people were outside in the parking lot very late being super loud for over an hour. The price was great and it smelled clean. If you're just going for somewhere to sleep i would recommend this hotel because overall it was nice but if you're looking to stay somewhere to be in the room it's probably not for you.
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,3,Bathroom could of been cleaner. Front desk and shuttle drivers can be a bit more professional.
4616 Osage Beach Pkwy,"Motels,Lodging,Hotels,Bed & Breakfast & Inns",Osage Beach,US,Osage Village Inn,4,"My wife and I stayed there on Thursday, May 26th, for the very first time. We were pleasantly surprised at this place as it proved to be almost everything they had advertised. Our check-in was easily done and the room assignment was fine with the exception we did have to climb a flight of stairs with luggage to get to... More"
2707 Veterans Ave,"Travel & Transport,Hotels,Hotels & Motels",Vandalia,US,Ramada Vandalia,5,Good
920 N Rampart St,"Hotel,Hotels",New Orleans,US,Best Western Plus French Quarter Landmark Hotel,4,"I like being n walking distance to d french Quater, I liked it."
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,2,"Ok overall - we stayed one night with our dogs. We were limited in our choices because of this. Hotel could use updating. Was a little bit noisy in the halls, but overall ok. Did not eat on site but at Governor's across the street."
55 Ok St,"Hotels,Lodging,Hotel,Motels",Bisbee,US,Eldorado Suites Hotel,5,We received a warm greeting and really enjoyed our stay at Eldorado Suites. I've already recommended it to two people who are planning trips to Bisbee. Our suite was perfect for our family of five. We were very comfortable and slept well. We would definitely stay here again.
720 E Harbor St,"Hotel,Hotels",Oscoda,US,Americinn Lodge Suites Oscoda - Ausable River,1,We had our family reunion there and it was a great overall trip.Everything was clean and people were friendly and helpful. They were tolerant of small children and teens.There was rooms for everybody and plenty of space for gathering and eating. The kids and adults loved the pool and hot tub. We were impressed at the ability for my cousin... More
1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,Doubletree By Hilton Hotel Bay City - Riverfront,5,"The Double Tree Hotel in Bay City is always our first choice hotel when we are visiting in the tri-county area. The reservations are easily mad online. The staff are friendly and helpful as we get settled in, during our stay, and checking out. The rooms are pleasant, clean and quiet. The food and service in the main restaurant superior. The ambiance and service in the lounge, fantastic. It is a joy to stay at your hotel every time."
13600 N W 2nd St,Hotels,Fort Lauderdale,US,La Quinta Inn and Suites Sunrise,1,"Customer service desk was great. The 1st room I got had no air conditioning, lamps were unplugged from the walls, the door looked as though it had been kicked in, and stunk like cigarette smoke on the whole floor. The 2nd room was better. There was no air on in the so the we had to leave the door open... More"
2030 Formosa Rd,Hotels,Troy,US,Red Roof Inn St Louis - Troy,5,The service we received from Julie and Danielle was remarkable to say the least. They literally saved my 9 year old daughters birthday party!!! Due to an error by a nearby hotel I had to find alternate accommodations for a swim party my daughter was having. I called Red Roof and they were more than wiling to allow us to... More
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,3,"The hotel was fine for budget accommodations- rooms are clean and offer a microwave/fridge setup- but don't expect anything fancy. The room was good sized but smelled oddly swampy when we arrived, breakfast was rather lacking, and the fitness space consists of two treadmills and an elliptical. Staff was not particularly attentive."
101 Travel Center Blvd,"Resorts & Vacation Cottages,Hotels,Hotels & Motels,Accommodations & Lodging,Inns,Vacation Packages",Dublin,US,La Quinta Inn & Suites Dublin,5,"I stay at a lot of hotels in Georgia as I travel for business. This was, by far, the nicest. The beds were extremely comfortable. Everything was perfect. I was so pleased with my experience there. I will look forward to my next visit to Dublin, GA so that I can stay in this hotel again."
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,4,room was good. had to double up with a relative and I stayed on the open up sofa bed. very uncomfortable. sheet didn't fit the sofa bed and ended up on the bare mattress although a clean mattress. relative saw trash behind the headboard of the bed. shower nice. coffee in the morning good. staff very friendly and helpful
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,3,Overall the stay was not bad. We were disappointed that the pool was closed during most of our stay. I think that is something that anyone who makes reservations should be made aware of.
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,5,Gave my mind rest and peace while going through bereavement.
65 S E First Ln,"Hotel,Hotels",Lamar,US,Blue Top Inn,5,"Glad to find this refreshing oasis on Trip Advisor! Saved us from a dreary stop at their franchise competitor. It was modern, clean, fresh, and they sent us across the street for a free breakfast at Dennys!"
457 Mountain Village Blvd,Hotels,Telluride,US,Mountain Lodge At Telluride - A Noble House Resort,5,"The best part of the mountain lodge is the staff. Every person working there was extremely friendly and helpful,from the front desk staff to the cleaning crew and the van drivers. The concierge Matt, is eager to help with whatever you may need, from restaurant reservations to any other activity in the area. We stayed in a 2 BR/2 BA... More"
3917 Ridgemont Dr,Hotels,Abilene,US,Hampton Inn Abilene,4,Would definitely stay here again. Check in was smooth. Room was nice and clean. We were on the side of the hotel where you could hear the cars on the highway at night which is the only negative thing I could say. The breakfast was ok. The kids loved the whipped cream and chocolate chips for the waffles! Overall good... More
920 N Rampart St,"Hotel,Hotels",New Orleans,US,Best Western Plus French Quarter Landmark Hotel,2,"Location is okay, but the hotel itself is noisy. Our air conditioning / heater was incredibly loud and the foot traffic outside our room was noisy. The check in was moderately informative but done by rote with little awareness of the responses. Room was comfortably large but could use a refurb."
301 Reserve Ave,"Luxury Hotels,Restaurants,Hotels & Motels,Lodging,Grill Restaurants,Meeting Facilities",Roanoke,US,Cambria Hotel & Suites,4,The bed was very comfortable. The room was clean. The staff was very kind and helpful. We ate the mushroom bacon swiss burger in the restaurant downstairs. It was delicious. It was a one night stay as we were traveling. We stayed in a king suite on the 5th floor. Luckily we are early risers as our room only had... More
301 Reserve Ave,"Luxury Hotels,Restaurants,Hotels & Motels,Lodging,Grill Restaurants,Meeting Facilities",Roanoke,US,Cambria Hotel & Suites,4,New hotel in edge of town. Convenient for us because of wedding ceremony location. Room not laid out that well ...hit desk returning from bathroom to bed in middle of night. Room not very quite. Pleasant staff. Only decafe coffee left by maid.
2007 N Expy,Hotels,Griffin,US,Baymont Inn & Suites Griffin,5,It was a nice hotel.
202 Main St,"Bed & Breakfasts,Hotels & Motels",Cooperstown,US,Main Street Bed & Breakfast,5,Main Street BB felt exactly what it is like to walk into a family members home after a long trip. Ron and Susan were incredible hosts. Room was fabulous and breakfast was delicious. Small and cozy room-but fit three with no issue. We had a Queen room and a rollaway which tucks up and stows away easily. Small BB so... More
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,3,satisfactory
3917 Ridgemont Dr,Hotels,Abilene,US,Hampton Inn Abilene,5,"Front desk staff was friendly, fresh warm cookies ready upon arrival with tea in the lobby. It was a very comfortable stay."
165 Saint Emanuel St,"Hotels,Bed & Breakfasts,Hotels & Motels,Lodging,Bed & Breakfast & Inns,Motels",Mobile,US,Fort Conde Inn,5,I came down with my tennis team and we stayed in the Gonzalez and Blakely cottages. They were both lovely!!! Wonderful beds and luxurious towels and toiletries. Beautifully decorated bedrooms and sitting rooms which adjoined each bedroom. Breakfast was served at the Fort Conde Inn which adjoined the property. The chef cooked a very elaborate assortment of main dishes as... More
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,5,Marie Ayra are very good people. Good service Clean rooms Nice service Really fast Good people even better Great hotel Good sheets Good bed Clean environment Restaurants Parking Relaxing Nice Good looking views
13600 N W 2nd St,Hotels,Fort Lauderdale,US,La Quinta Inn and Suites Sunrise,5,Checked in very late as ac went out in home! Man who checked me in After midnight was very good selling probably last room. He gave me aarp rate I really appreciate. My room was impeccable and grounds were very nice. Always can judge operation by cig butts out front and garbage cans full. No cig butts and front was... More
200 E State Road 45/46 Bypass,"Hotel,Hotels",Bloomington,US,Days Inn Bloomington,4,I arrived at the Bloomington Day's Inn on 2/14/16 I was welcomed with a warm hello. The check in went without a hitch. My room was very tastefully decorated but most of all very clean and neat.The bed was very comfortable and easy to fall asleep in the bathroom was spotless. If I had to point to one thing that... More
1808 S Australian Ave,Hotels,West Palm Beach,US,Doubletree By Hilton West Palm Beach Airport,5,"This DoubleTree appears to have been newly renovated and updated. One of the best I've seen. Beautiful lobby and dining areas with very clean rooms. The customer service upon check in was also fantastic. Mercedes checked me in, kindly upgraded my room, and did so quickly and politely. Thanks!"
4021 Union Deposit Rd,Hotels,Harrisburg,US,Holiday Inn Express - Harrisburg East,5,"Stayed there one night for a family trip. Very happy with the room. The room was clean, furnitures were all new, staffs were very polite."
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,4,"Found this hotel because we were trying to find a bigger room for 4 adults and 2 small children. The outside of the hotel or inn was pretty, I am not sure of what style it was but definitely not ordinary. Reception was small but the staff was/were friendly. We needed a 1 night stay for an event and the... More"
4507 Brooklyn Ave N E,"Hotel,fun hotels in seattle",Seattle,US,Hotel Deca - A Noble House Hotel,2,Good location for what we needed but high price did not justify the quality. Found a dirty sock in the room and bobby pin on the bathroom floor -- both left by previous tenants. Loud neighbors that didn't quiet down even after we called and the hotel told them to -- thin walls. Lots of pillows but all are soft... More
2707 Veterans Ave,"Travel & Transport,Hotels,Hotels & Motels",Vandalia,US,Ramada Vandalia,3,"This hotel is in need of updating. Paint on walls chipped off. Mirror in bath hung crooked. Toilet doesn't have a lid, which makes it easy to loose things off the bath vanity. The seat had to be held up to urinate because the counter overhung the toilet. You also couldn't set back properly on the toilet as the counter stuck in your back. Decent breakfast and clean enough."
375 Main St,"Hotels,Hotel",Waterville,US,Best Western Plus Waterville Grand Hotel,4,"Hotel was good. Indoor pool was the draw AND it was actually very warm. Great job! However, I do NOT recommend eating at the hotel restaurant...HORRIBLE service, so/so food quality. With only 3 people at the bar and 2 in restaurant it shouldn't have taken 35 minutes to get an order of nachos, then when it came out, the order was wrong!! Waited another 30 mins for the main dish. Pasta over cooked, chicken rubbery, even my 4 yr old wouldn't eat it. Good stay, but eat elsewhere."
14585 Duval Rd,"Hotels,Hotel",Jacksonville,US,Jacksonville Plaza Hotel and Suites,2,"the pictures online will completely fool you. this was the smallest, oldest, smelliest hotel room i've ever stayed in. we only picked this place b/c they stated we could take a shuttle from the hotel to the jacksonville port.... what we really had to do was drive our car over to a public parking lot and use THEIR shuttle. that... More"
33 Deadwood St,"Casinos,Hotels,American Restaurants,Wedding Reception Locations & Services,Meeting & Event Planning Services",Deadwood,US,Martin Mason Hotel,5,"The Martin Mason is a wonderful hotel in Deadwood. It is a beautifully restored property. If you are looking for a neat experience along with the wild west feeling of Deadwood, this is it! The rooms are tastefully appointed with antiques and fixtures from the 1880's. The staff is very friendly. We enjoyed the scones and coffee in the morning.... More"
119 Pinnacle Dr,Hotels,Johnson City,US,Quality Inn Johnson City,4,"We booked the room 3 minutes before midnight and the staff was pleasant.I called and asked for an extension and it was granted. We had a room in Knoxville, ( not a quality inn) but checked out. And decided to book with Quality Inn.. which is now our favorite due to cleanliness and comfort"
835 S Chestatee St,"Wedding Sites,Hotels,Hotels & Motels,Meeting Facilities",Dahlonega,US,Holiday Inn Express Dahlonega,5,"We wanted an updated, clean, relaxing, quiet place to rest after touring all day. This Holiday Inn Express had all that and more. At a reasonable rate we had two queen beds, fridge, microwave, comfy beds and pillows, and a beautiful view of the sunset over the mountains. The complementary hot breakfast offered scrambled eggs, pork and turkey sausage, biscuits,... More"
956 S 25th St W,"Hotels & Motels,Hotel",Billings,US,Residence Inn Billings,5,I stayed here on a business trip to Billings. My stay was perfect from check in to check out. Check in was fast and accompanied with a fresh cookie. Both nights I was there they served complimentary wine and beer in the lobby. The room was roomy new and perfectly clean. Continental breakfast was the best I have ever experienced... More
101 Main St,"Hotels,Lodging",Burlington,US,Hilton Garden Inn Burlington Downtown,4,"Overall, my stay at the Hilton Garden Inn in Burlington was very nice. The decor was modern. The room was immaculate. Linens were plush. Bed was heavenly. Room was very quiet. Breakfast was a made to order omelette with fresh fruit, coffee and juice (a little over priced, but fresh and convenient .) Minor complaint regarding valet parking for an... More"
1 Wenonah Park Pl,"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",Bay City,US,Doubletree By Hilton Hotel Bay City - Riverfront,5,"The front desk clerk was wonderful, Shanteran Kappen. I have dealt with her in the past as well, she is the kindest, professional gal to deal with. She went out of her way to accommodate me. She could not have been any sweeter. You should be proud to have her as one of your team members. A great representation of your brand!"
135 Route 28,Hotels,West Yarmouth,US,Tidewater Inn,1,ac borke upgraded by hotel staff to premium room was no better in size or quality
4691 Castleton Way,Hotels,Castle Rock,US,Days Inn & Suites Castle Rock,5,"Were three guys at the desk when we arrived (two housekeepers the front desk guy), all were wonderful. Extremely helpful with check-in, getting our room ready for us (we were early). Various little touches to make things nice, from towel folded into animal shapes, to just informative polite answers to various questions (was our first stay with them.)... More"
4507 Brooklyn Ave N E,"Hotel,fun hotels in seattle",Seattle,US,Hotel Deca - A Noble House Hotel,5,"Fantastic experience in your beautiful hotel! We were on our honeymoon, and it was all just perfect. Onjalie and Jimmy were particularly helpful and accommodating. We will be back! Thanks so much! Steve Megan Peglar"
4526 E Belknap St,Hotels,Haltom City,US,Haltom Inn,1,"I had made a reservation but canceled the reservation at 9 am the morning of the day I was supposed to arrive due to my wife having a heart attack the morning of the day we were supposed to arrive, they still charged us for 1 night because we didn't cancel by 6 pm the day before we were supposed... More"
457 Mountain Village Blvd,Hotels,Telluride,US,Mountain Lodge At Telluride - A Noble House Resort,5,"Very well-run lodge with excellent, friendly employees. Top notch ski-in ski-out for hitting the slopes. Clean and comfortable! Quiet, family friendly, and walkable to the grocery store (it's right next to it). The kitchen in the unit was very nice and we cooked dinner and enjoyed eating in. Also there is a great restaurant and bar on site."
